dogadjaj_id,predmet,tip,nastavnik,smjerovi,ciklus,semestar,godina,grupa,broj_studenata,ucionica_id,dan,pocetak,kraj,trajanje_sati
D0019,Analiza II,P,Nacima Memić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,150,ABG,PETAK,11:00,13:00,2
D0047,Elementarna matematika,AV,Džana Drino,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,UTORAK,17:00,19:00,2
D0012,Analitička geometrija,P,Almasa Odžak,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,150,ABG,CETVRTAK,11:00,13:00,2
D0050,Elementarna teorija brojeva,P,Almasa Odžak,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,150,ABG,PONEDJELJAK,14:00,16:00,2
D0018,Analiza II,AV,Mirza Čvorak,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,150,ABG,SRIJEDA,11:00,13:00,2
D0013,Analiza I,AV,Džana Drino,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,CETVRTAK,14:00,16:00,2
D0011,Analitička geometrija,AV,Ines Alagić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,150,ABG,PETAK,13:00,15:00,2
D0049,Elementarna teorija brojeva,AV,Medina Zubača,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,150,ABG,CETVRTAK,16:00,18:00,2
D0017,Analiza II,AV,Mirza Čvorak,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,150,ABG,PETAK,15:00,17:00,2
D0048,Elementarna matematika,P,Dina Kamber Hamzić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,PONEDJELJAK,16:00,18:00,2
D0015,Analiza I,P,Dženan Gušić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,SRIJEDA,13:00,15:00,2
D0171,Programiranje II,AV,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Primijenjena matematika,Bachelor,2,I godina,G1,130,ABG,PETAK,17:00,19:00,2
D0141,Numerička matematika,LV,Aleksandar Balašev-Samarski,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,67,VRC,PONEDJELJAK,13:00,15:00,2
D0172,Programiranje II,LV,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Primijenjena matematika,Bachelor,2,I godina,G1,65,VRC,UTORAK,08:00,10:00,2
D0173,Programiranje II,LV,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Primijenjena matematika,Bachelor,2,I godina,G2,65,VRC,UTORAK,10:00,12:00,2
