dogadjaj_id,predmet,tip,trajanje_sati,trajanje_minuta,nastavnik,smjerovi,ciklus,semestar,godina,broj_studenata,treba_lab,grupa
D0134,Nelinearna optimizacija,P,3,180,Zenan Šabanac,Opći smjer,Master,3,II godina,3,0,G1
D0135,Neuronske mreže,LV,2,120,Admir Beširević,Kompjuterske nauke,Master,1,I godina,15,1,G1
D0136,Neuronske mreže,P,3,180,Adis Alihodžić,Kompjuterske nauke,Master,1,I godina,15,0,G1
D0137,Neuronske mreže,LV,2,120,Admir Beširević,Primijenjena matematika,Master,3,II godina,4,1,G1
D0138,Neuronske mreže,P,3,180,Adis Alihodžić,Primijenjena matematika,Master,3,II godina,4,0,G1
D0139,Numerička analiza,LV,2,120,Aleksandra Kostić,Opći smjer | Primijenjena matematika,Bachelor,4,II godina,11,1,G1
D0140,Numerička analiza,P,2,120,Aleksandra Kostić,Opći smjer | Primijenjena matematika,Bachelor,4,II godina,11,0,G1
D0141,Numerička matematika,LV,2,120,Aleksandar Balašev-Samarski,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,67,1,G1
D0142,Numerička matematika,P,2,120,Medina Zubača,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,67,0,G1
D0143,Odabrana poglavlja analize,AV,3,180,Mirza Čvorak,Kompjuterske nauke,Bachelor,3,II godina,40,0,G1
D0144,Odabrana poglavlja analize,P,3,180,Zenan Šabanac,Kompjuterske nauke,Bachelor,3,II godina,40,0,G1
D0145,Odabrana poglavlja geometrije,AV,2,120,Mirza Čvorak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer,Bachelor,6,III godina,17,0,G1
D0146,Odabrana poglavlja geometrije,P,2,120,Manuela Muzika Dizdarević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer,Bachelor,6,III godina,17,0,G1
D0147,Odabrana poglavlja iz pedagogije,AV,1,60,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,0,G1
D0148,Odabrana poglavlja iz pedagogije,P,2,120,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,0,G1
D0149,Operaciona istraživanja,AV,2,120,Emin Bešo,Kompjuterske nauke | Primijenjena matematika,Bachelor,5,III godina,25,0,G1
D0150,Operaciona istraživanja,P,3,180,Almasa Odžak,Kompjuterske nauke | Primijenjena matematika,Bachelor,5,III godina,25,0,G1
D0151,Operaciona istraživanja,AV,2,120,Emin Bešo,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,0,G1
D0152,Operaciona istraživanja,P,3,180,Almasa Odžak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,0,G1
D0153,Operativni sistemi,LV,2,120,Samir Ribić,Kompjuterske nauke,Bachelor,4,II godina,40,1,G1
D0154,Operativni sistemi,P,2,120,Samir Ribić,Kompjuterske nauke,Bachelor,4,II godina,40,0,G1
D0155,Paralelno računanje i optimizacija,LV,2,120,Damir Hasić,Kompjuterske nauke,Master,1,I godina,15,1,G1
D0156,Paralelno računanje i optimizacija,P,3,180,Damir Hasić,Kompjuterske nauke,Master,1,I godina,15,0,G1
D0157,Parcijalne diferencijalne jednadžbe,AV,2,120,Senada Kalabušić,Opći smjer | Primijenjena matematika,Bachelor,4,II godina,11,0,G1
D0158,Parcijalne diferencijalne jednadžbe,P,3,180,Senada Kalabušić,Opći smjer | Primijenjena matematika,Bachelor,4,II godina,11,0,G1
D0159,Parcijalne diferencijalne jednadžbe,AV,2,120,Senada Kalabušić,Nastavnički smjer (matematika),Bachelor,6,III godina,7,0,G1
D0160,Parcijalne diferencijalne jednadžbe,P,3,180,Senada Kalabušić,Nastavnički smjer (matematika),Bachelor,6,III godina,7,0,G1
D0161,Pedagogija,AV,2,120,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,5,III godina,13,0,G1
D0162,Pedagogija,P,2,120,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,5,III godina,13,0,G1
D0163,Pedagoška psihologija,AV,2,120,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,4,II godina,16,0,G1
D0164,Pedagoška psihologija,P,2,120,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,4,II godina,16,0,G1
D0165,Primjena računara u nastavi,LV,2,120,Daniela Zubović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,1,G1
D0166,Primjena računara u nastavi,P,2,120,Dženan Gušić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,0,G1
D0167,Programiranje I,AV,2,120,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0168,Programiranje I,LV,2,120,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,75,1,G1
D0169,Programiranje I,LV,2,120,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,75,1,G2
D0170,Programiranje I,P,2,120,Elmedin Selmanović,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0171,Programiranje II,AV,2,120,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Primijenjena matematika,Bachelor,2,I godina,130,0,G1
D0172,Programiranje II,LV,2,120,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Primijenjena matematika,Bachelor,2,I godina,65,1,G1
D0173,Programiranje II,LV,2,120,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Primijenjena matematika,Bachelor,2,I godina,65,1,G2
